,date,input,freq,gain,peak_avg,peak_std,wfcount
6,20191023,0,1000,00,0.40415963709677416,0.0004602775228018241,1116
9,20191023,0.1,1000,00,0.2075063724168126,0.00044149152453435103,1142
10,20191028,0.01,1000,00,0.030314401055363316,0.00048153562448054535,1156
11,20191028,1,1000,00,2.1690330968020746,0.0010587724816087253,1157
12,20191028,2,1000,00,4.370002006956522,0.0010491724597922758,1150
13,20191028,0.04,1000,00,0.08433179407632263,0.00043003123595824447,1153
15,20191028,0.05,1000,00,0.10471153298791018,0.0004513665657193477,1158
16,20191028,0.005,1000,00,0.015385081171403962,0.0005053009297389133,1161
17,20191028,0.1,1000,10,2.1666664083044984,0.0006699053936203443,1156
18,20191028,0.05,1000,10,1.0713506315789474,0.0006721767319706733,1140
19,20191030,0.2,1000,00,0.41655927031523643,0.00044402577569081704,1142
20,20191030,0.07,1000,00,0.1461337822454308,0.00047899090119454254,1149
21,20191030,0.01,1000,10,0.2099127861830743,0.0005794325013098633,1158
23,20191030,0.2,1000,10,4.402306953125,0.0011467298006284693,1152
24,20191030,0.04,1000,10,0.8540480907180386,0.0005765796388152465,1142
25,20191030,0.07,1000,10,1.512102073490814,0.0006453808982185783,1143
26,20191106,0.15,1000,00,0.3111113496497373,0.00045091803678431943,1142
27,20191106,0.01,1000,00,0.03012997573839662,0.00046382059038831824,1185
28,20191106,0.1,1000,00,0.20742078699825478,0.0004847635144975577,1146
29,20191106,0.02,1000,00,0.04614232419104992,0.0007570538425219076,1162
30,20191106,0.2,1000,00,0.4181228146678171,0.00046097505627891157,1159
31,20191106,0.03,1000,00,0.06368123115652173,0.00042860112165018095,1150
32,20191106,0.04,1000,00,0.08419698212747631,0.00045632227744136226,1161
33,20191106,0.05,1000,00,0.10485644499136443,0.00044290281097617533,1158
34,20191106,0.06,1000,00,0.12528310313588853,0.0004541244701213419,1148
35,20191106,0.08,1000,00,0.166691493514461,0.000437021354839162,1141
37,20191106,0.09,1000,00,0.18780629218213057,0.0004396599126750726,1164
38,20191106,0.15,1000,10,3.2905533277972023,0.0011771817870900605,1144
39,20191106,0.01,1000,10,0.20978688031088083,0.000579033738648421,1158
