,date,input,freq,gain,peak_avg,peak_std,wfcount
0,20191023,0V,1000,00,0.07887619,0.0014787405837426966,26
1,20191023,0V,1000,00,0.43031073617021287,0.002147485620419263,329
2,20191023,0V,1000,00,0.4048109,0.0005043559292140135,36
3,20191023,0V,1000,00,0.4050177394736842,0.0004676015541482144,38
4,20191023,0V,1000,00,0.05045229347368421,0.00037617149685180087,665
5,20191023,0V,1000,00,0.40394803351648345,0.0004672248884681917,182
6,20191023,0V,1000,00,0.40415963709677416,0.0004602775228018241,1116
7,20191023,0V,1000,00,0.4023689434782608,0.00048753969623439685,207
8,20191023,0V,1000,00,0.40241364648910416,0.0004888089492633385,413
9,20191023,1dV,1000,00,0.2075063724168126,0.00044149152453435103,1142
10,20191028,1cV,1000,00,0.030314401055363316,0.00048153562448054535,1156
11,20191028,1V,1000,00,2.1690330968020746,0.0010587724816087253,1157
12,20191028,2V,1000,00,4.370002006956522,0.0010491724597922758,1150
13,20191028,4cV,1000,00,0.08433179407632263,0.00043003123595824447,1153
14,20191028,5cV,1000,00,0.1047852,0.0,1
15,20191028,5cV,1000,00,0.10471153298791018,0.0004513665657193477,1158
16,20191028,5mV,1000,00,0.015385081171403962,0.0005053009297389133,1161
17,20191028,1dV,1000,10,2.1666664083044984,0.0006699053936203443,1156
18,20191028,5cV,1000,10,1.0713506315789474,0.0006721767319706733,1140
19,20191030,2dV,1000,00,0.41655927031523643,0.00044402577569081704,1142
20,20191030,7000000000000001,1000,00,0.1461337822454308,0.00047899090119454254,1149
21,20191030,1cV,1000,10,0.2099127861830743,0.0005794325013098633,1158
22,20191030,2dV,1000,10,4.402148,0.0,1
23,20191030,2dV,1000,10,4.402306953125,0.0011467298006284693,1152
24,20191030,4cV,1000,10,0.8540480907180386,0.0005765796388152465,1142
25,20191030,7000000000000001,1000,10,1.512102073490814,0.0006453808982185783,1143
26,20191106,15cV,1000,00,0.3111113496497373,0.00045091803678431943,1142
27,20191106,1cV,1000,00,0.03012997573839662,0.00046382059038831824,1185
28,20191106,1dV,1000,00,0.20742078699825478,0.0004847635144975577,1146
29,20191106,2cV,1000,00,0.04614232419104992,0.0007570538425219076,1162
30,20191106,2dV,1000,00,0.4181228146678171,0.00046097505627891157,1159
31,20191106,3cV,1000,00,0.06368123115652173,0.00042860112165018095,1150
32,20191106,4cV,1000,00,0.08419698212747631,0.00045632227744136226,1161
33,20191106,5cV,1000,00,0.10485644499136443,0.00044290281097617533,1158
34,20191106,6cV,1000,00,0.12528310313588853,0.0004541244701213419,1148
